,Rate
AED,4.257663
AFN,105.366703
ALL,122.934249
AMD,554.284302
ANG,2.089482
AOA,692.049557
ARS,115.753594
AUD,1.556104
AWG,2.086582
AZN,1.969386
BAM,1.9542229999999998
BBD,2.32289
BDT,99.339529
BGN,1.9547500000000002
BHD,0.43705099999999997
BIF,2312.627876
BMD,1.159212
BND,1.5625149999999999
BOB,7.993728
BRL,6.58467
BSD,1.159347
BTC,1.8273826000000002e-05
BTN,86.61559
BWP,13.295569
BYN,2.848059
BYR,22720.554567
BZD,2.324489
CAD,1.437
CDF,2334.653325
CHF,1.058818
CLF,0.034218
CLP,944.143411
CNY,7.419191
COP,4366.229837
CRC,739.821764
CUC,1.159212
CUP,30.719117
CVE,110.945311
CZK,25.554872
DJF,206.420294
DKK,7.439648
DOP,65.386614
DZD,159.363843
EGP,18.209823
ERN,17.389616
ETB,54.772982999999996
EUR,1.0
FJD,2.416942
FKP,0.84996
GBP,0.8506239999999999
GEL,3.66887
GGP,0.84996
GHS,7.00746
GIP,0.84996
GMD,60.278643
GNF,11157.415169
GTQ,8.969925
GYD,242.700467
HKD,9.021508
HNL,28.006661
HRK,7.526534
HTG,113.818426
HUF,359.402256
IDR,16558.589471
ILS,3.635892
IMP,0.84996
INR,86.508801
IQD,1692.449473
IRR,48970.909745
ISK,150.198943
JEP,0.84996
JMD,179.236643
JOD,0.82188
JPY,131.84007
KES,129.020978
KGS,98.307515
KHR,4712.196587
KMF,493.009251
KPW,1043.290424
KRW,1364.12004
KWD,0.349839
KYD,0.9661059999999999
KZT,496.491815
LAK,11951.474974
LBP,1777.072313
LKR,234.190063
LRD,174.026716
LSL,16.669954
LTL,3.422851
LVL,0.7011959999999999
LYD,5.286306
MAD,10.52159
MDL,20.305806
MGA,4590.479619
MKD,61.564386
MMK,2090.321567
MNT,3304.825738
MOP,9.294459
MRO,413.838473
MUR,50.42945
MVR,17.909613
MWK,945.917212
MXN,24.055622
MYR,4.8124649999999995
MZN,73.992846
NAD,16.669493
NGN,475.763678
NIO,40.827535
NOK,9.817948
NPR,138.585064
NZD,1.629203
OMR,0.44627799999999995
PAB,1.159347
PEN,4.629872
PGK,4.09204
PHP,58.606252
PKR,198.747129
PLN,4.608169
PYG,8001.321809
QAR,4.220661
RON,4.950296
RSD,117.503396
RUB,83.164209
RWF,1159.211968
SAR,4.3482520000000005
SBD,9.303521
SCR,15.476491
SDG,510.643068
SEK,9.909025
SGD,1.562566
SHP,1.5967
SLL,12606.430275
SOS,679.297701
SRD,25.039557
STD,23993.347292
SVC,10.14466
SYP,1457.097013
SZL,16.669499
THB,38.551939
TJS,13.019596
TMT,4.057242
TND,3.285783
TOP,2.591361
TRY,11.118702
TTD,7.860937
TWD,32.288112
TZS,2669.664795
UAH,30.490533
UGX,4119.713027
USD,1.159212
UYU,51.237875
UZS,12403.568015
VEF,247874552791.17706
VND,26373.317492
VUV,130.175369
WST,2.987281
XAF,655.418156
XAG,0.049311999999999995
XAU,0.000647
XCD,3.132828
XDR,0.821724
XOF,650.891245
XPF,119.920482
YER,290.092826
ZAR,17.895799
ZMK,10434.302685
ZMW,20.074296
ZWL,373.265781
